Ad set ID;Age;Gender;reach;impressions;frequency;Currency;cpm;cpc;ctr;amount spent (EUR);purchases;Reporting starts;Reporting ends
23854101086880129;25-34;male;12723;22646;1.7798667;EUR;18.80298159;2.008513208;1.088070088;532.256;9;2023-01-01;2023-04-30
23853969600870129;18-24;male;23987;29894;1.246231323;EUR;14.24242966;3.041124968;0.732196856;532.1968688;11;2023-01-01;2023-04-30
23854101086880129;35-44;male;9958;18911;1.899019923;EUR;22.50890478;1.652447208;1.580439104;532.088;8;2023-01-01;2023-04-30
23853662536380129;35-44;male;14157;22297;1.574988698;EUR;19.02266451;1.828209248;1.07638764;530.1806826;9;2023-01-01;2023-04-30
23853701734420129;35-44;male;14208;25634;1.804222973;EUR;16.36700683;1.524558136;1.318228632;524.448;4;2023-01-01;2023-04-30
23853882046140129;35-44;male;15770;21116;1.339032062;EUR;19.8261792;1.34182564;1.657889752;523.312;13;2023-01-01;2023-04-30
23852531898950129;35-44;female;15898;19434;1.22242351;EUR;21.38383006;1.374222224;1.8969208;519.456;7;2023-01-01;2023-04-30
23852526898840129;25-34;male;30464;39030;1.281171218;EUR;10.6120073;1.337798448;0.788734704;517.728;9;2023-01-01;2023-04-30
23854349407120129;45-54;female;6080;9897;1.627763158;EUR;41.7143319;2.21479828;2.05642228;516.048;6;2023-01-01;2023-04-30
23853246001410129;18-24;male;19418;23144;1.191908372;EUR;17.57787763;1.765722224;0.915312824;508.528;7;2023-01-01;2023-04-30
23854405947010129;35-44;male;27085;39892;1.472855624;EUR;10.12329708;1.182197208;1.105384536;504.7982089;15;2023-01-01;2023-04-30
23854172437630129;18-24;female;18637;28125;1.509100275;EUR;14.21208329;2.014677416;0.812379112;499.64;8;2023-01-01;2023-04-30
23853701734420129;18-24;male;15002;26542;1.769304608;EUR;14.90119959;2.288851848;0.658267528;494.392;8;2023-01-01;2023-04-30
23854191262820129;35-44;female;10912;14024;1.285190616;EUR;28.18756418;1.809992672;1.49229892;494.128;13;2023-01-01;2023-04-30
23853741619790129;35-44;male;11098;21368;1.925461361;EUR;18.35896668;1.542037736;1.293897416;490.368;11;2023-01-01;2023-04-30
23853277965280129;25-34;male;18432;29241;1.586414931;EUR;13.39278326;1.717612704;0.776996528;489.519621;11;2023-01-01;2023-04-30
23853240668460129;25-34;female;101479;125763;1.23930027;EUR;3.099361336;0.313938144;0.988270016;487.232;16;2023-01-01;2023-04-30
23853109925400125;35-44;male;16051;26618;1.658293461;EUR;14.55258727;1.419922824;1.180572256;484.1936836;10;2023-01-01;2023-04-30
